month_start,year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2022-08-01,2022,Summer,Weekend,Commuter-Heavy Transit Hub,4525,4322,-203,2558
2022-08-01,2022,Summer,Weekend,Leisure & Waterfront,44941,46772,1831,10673
2022-08-01,2022,Summer,Weekend,Residential & Inner-Suburban Feeder,28037,27178,-859,16479
2022-09-01,2022,Fall,Weekday,Commercial & Employment Core,292968,289866,-3102,108467
2022-09-01,2022,Fall,Weekday,Commuter-Heavy Transit Hub,25479,29270,3791,7342
2022-09-01,2022,Fall,Weekday,Leisure & Waterfront,44854,46532,1678,21148
2022-09-01,2022,Fall,Weekday,Residential & Inner-Suburban Feeder,63362,60737,-2625,41586
2022-09-01,2022,Fall,Weekend,Commercial & Employment Core,97641,97022,-619,39434
2022-09-01,2022,Fall,Weekend,Commuter-Heavy Transit Hub,3800,3952,152,2295
2022-09-01,2022,Fall,Weekend,Leisure & Waterfront,28252,29363,1111,8513
2022-09-01,2022,Fall,Weekend,Residential & Inner-Suburban Feeder,22155,21752,-403,14749
2022-10-01,2022,Fall,Weekday,Commercial & Employment Core,226844,225427,-1417,99637
2022-10-01,2022,Fall,Weekday,Commuter-Heavy Transit Hub,19995,23070,3075,6611
2022-10-01,2022,Fall,Weekday,Leisure & Waterfront,25338,26810,1472,16607
2022-10-01,2022,Fall,Weekday,Residential & Inner-Suburban Feeder,49663,46454,-3209,37304
2022-10-01,2022,Fall,Weekend,Commercial & Employment Core,108132,108031,-101,49045
2022-10-01,2022,Fall,Weekend,Commuter-Heavy Transit Hub,4346,4425,79,2887
2022-10-01,2022,Fall,Weekend,Leisure & Waterfront,24542,25465,923,9933
2022-10-01,2022,Fall,Weekend,Residential & Inner-Suburban Feeder,24535,23801,-734,18148
2022-11-01,2022,Fall,Weekday,Commercial & Employment Core,168280,167627,-653,91856
2022-11-01,2022,Fall,Weekday,Commuter-Heavy Transit Hub,14873,17062,2189,6314
2022-11-01,2022,Fall,Weekday,Leisure & Waterfront,13546,14297,751,12175
2022-11-01,2022,Fall,Weekday,Residential & Inner-Suburban Feeder,36623,34222,-2401,32651
2022-11-01,2022,Fall,Weekend,Commercial & Employment Core,54679,54757,78,32683
2022-11-01,2022,Fall,Weekend,Commuter-Heavy Transit Hub,2011,2216,205,1785
2022-11-01,2022,Fall,Weekend,Leisure & Waterfront,8729,9104,375,5025
2022-11-01,2022,Fall,Weekend,Residential & Inner-Suburban Feeder,12321,11791,-530,10931
2022-12-01,2022,Winter,Weekday,Commercial & Employment Core,101592,101389,-203,73582
2022-12-01,2022,Winter,Weekday,Commuter-Heavy Transit Hub,8083,9536,1453,5150
2022-12-01,2022,Winter,Weekday,Leisure & Waterfront,7019,7486,467,7872
2022-12-01,2022,Winter,Weekday,Residential & Inner-Suburban Feeder,22025,20260,-1765,23892
2022-12-01,2022,Winter,Weekend,Commercial & Employment Core,27395,27494,99,24029
2022-12-01,2022,Winter,Weekend,Commuter-Heavy Transit Hub,1092,1225,133,1226
2022-12-01,2022,Winter,Weekend,Leisure & Waterfront,2189,2298,109,2543
2022-12-01,2022,Winter,Weekend,Residential & Inner-Suburban Feeder,5843,5532,-311,6989
2023-01-01,2023,Winter,Weekday,Commercial & Employment Core,97575,98015,440,73074
2023-01-01,2023,Winter,Weekday,Commuter-Heavy Transit Hub,8723,9419,696,5284
2023-01-01,2023,Winter,Weekday,Leisure & Waterfront,6072,6324,252,7078
2023-01-01,2023,Winter,Weekday,Residential & Inner-Suburban Feeder,19412,17963,-1449,21969
2023-01-01,2023,Winter,Weekend,Commercial & Employment Core,32131,32076,-55,27358
2023-01-01,2023,Winter,Weekend,Commuter-Heavy Transit Hub,1284,1337,53,1423
2023-01-01,2023,Winter,Weekend,Leisure & Waterfront,2693,2760,67,2992
2023-01-01,2023,Winter,Weekend,Residential & Inner-Suburban Feeder,5951,5968,17,7494
2023-02-01,2023,Winter,Weekday,Commercial & Employment Core,90734,90686,-48,64978
2023-02-01,2023,Winter,Weekday,Commuter-Heavy Transit Hub,7891,8880,989,4791
2023-02-01,2023,Winter,Weekday,Leisure & Waterfront,6598,6944,346,6742
2023-02-01,2023,Winter,Weekday,Residential & Inner-Suburban Feeder,17472,16212,-1260,19286
2023-02-01,2023,Winter,Weekend,Commercial & Employment Core,32892,32892,0,24485
2023-02-01,2023,Winter,Weekend,Commuter-Heavy Transit Hub,1271,1302,31,1341
2023-02-01,2023,Winter,Weekend,Leisure & Waterfront,3436,3687,251,2985
2023-02-01,2023,Winter,Weekend,Residential & Inner-Suburban Feeder,5921,5607,-314,6862
2023-03-01,2023,Spring,Weekday,Commercial & Employment Core,129414,129526,112,84620
2023-03-01,2023,Spring,Weekday,Commuter-Heavy Transit Hub,10829,11818,989,6020
2023-03-01,2023,Spring,Weekday,Leisure & Waterfront,9207,9907,700,9291
2023-03-01,2023,Spring,Weekday,Residential & Inner-Suburban Feeder,25586,23733,-1853,26580
2023-03-01,2023,Spring,Weekend,Commercial & Employment Core,30940,30956,16,23875
2023-03-01,2023,Spring,Weekend,Commuter-Heavy Transit Hub,1132,1086,-46,1174
2023-03-01,2023,Spring,Weekend,Leisure & Waterfront,3903,4053,150,2914
2023-03-01,2023,Spring,Weekend,Residential & Inner-Suburban Feeder,5559,5481,-78,6547
2023-04-01,2023,Spring,Weekday,Commercial & Employment Core,177099,176807,-292,89513
2023-04-01,2023,Spring,Weekday,Commuter-Heavy Transit Hub,13050,14676,1626,5846
2023-04-01,2023,Spring,Weekday,Leisure & Waterfront,21682,23061,1379,15000
2023-04-01,2023,Spring,Weekday,Residential & Inner-Suburban Feeder,40870,38075,-2795,33779
2023-04-01,2023,Spring,Weekend,Commercial & Employment Core,69153,69322,169,40961
2023-04-01,2023,Spring,Weekend,Commuter-Heavy Transit Hub,2398,2416,18,2138
2023-04-01,2023,Spring,Weekend,Leisure & Waterfront,14295,14840,545,7603
2023-04-01,2023,Spring,Weekend,Residential & Inner-Suburban Feeder,15909,15266,-643,14259
2023-05-01,2023,Spring,Weekday,Commercial & Employment Core,273781,271568,-2213,111948
2023-05-01,2023,Spring,Weekday,Commuter-Heavy Transit Hub,19186,21997,2811,7174
2023-05-01,2023,Spring,Weekday,Leisure & Waterfront,39522,42835,3313,22696
2023-05-01,2023,Spring,Weekday,Residential & Inner-Suburban Feeder,66608,62483,-4125,46476
2023-05-01,2023,Spring,Weekend,Commercial & Employment Core,88299,88137,-162,38660
2023-05-01,2023,Spring,Weekend,Commuter-Heavy Transit Hub,3157,3038,-119,2106
2023-05-01,2023,Spring,Weekend,Leisure & Waterfront,24295,25089,794,8991
2023-05-01,2023,Spring,Weekend,Residential & Inner-Suburban Feeder,21520,21156,-364,15551
2023-06-01,2023,Summer,Weekday,Commercial & Employment Core,306354,303719,-2635,112763
2023-06-01,2023,Summer,Weekday,Commuter-Heavy Transit Hub,20927,23359,2432,7204
2023-06-01,2023,Summer,Weekday,Leisure & Waterfront,41017,44482,3465,23331
2023-06-01,2023,Summer,Weekday,Residential & Inner-Suburban Feeder,71509,67895,-3614,47182
2023-06-01,2023,Summer,Weekend,Commercial & Employment Core,112623,112542,-81,42396
2023-06-01,2023,Summer,Weekend,Commuter-Heavy Transit Hub,3342,3235,-107,2231
2023-06-01,2023,Summer,Weekend,Leisure & Waterfront,26640,28120,1480,10245
2023-06-01,2023,Summer,Weekend,Residential & Inner-Suburban Feeder,27670,26703,-967,17698
2023-07-01,2023,Summer,Weekday,Commercial & Employment Core,326518,323098,-3420,111084
2023-07-01,2023,Summer,Weekday,Commuter-Heavy Transit Hub,21155,24059,2904,6839
2023-07-01,2023,Summer,Weekday,Leisure & Waterfront,51122,55387,4265,24563
2023-07-01,2023,Summer,Weekday,Residential & Inner-Suburban Feeder,78229,74200,-4029,48291
2023-07-01,2023,Summer,Weekday,Unassigned,0,1,1,1
2023-07-01,2023,Summer,Weekend,Commercial & Employment Core,127661,127094,-567,52106
2023-07-01,2023,Summer,Weekend,Commuter-Heavy Transit Hub,3683,3529,-154,2719
2023-07-01,2023,Summer,Weekend,Leisure & Waterfront,31745,33314,1569,12423
2023-07-01,2023,Summer,Weekend,Residential & Inner-Suburban Feeder,31338,30788,-550,21597
2023-08-01,2023,Summer,Weekday,Commercial & Employment Core,360269,356420,-3849,121304
2023-08-01,2023,Summer,Weekday,Commuter-Heavy Transit Hub,23632,26508,2876,7557
2023-08-01,2023,Summer,Weekday,Leisure & Waterfront,53068,58999,5931,26485
2023-08-01,2023,Summer,Weekday,Residential & Inner-Suburban Feeder,88930,83596,-5334,53975
2023-08-01,2023,Summer,Weekend,Commercial & Employment Core,111497,111276,-221,42885
2023-08-01,2023,Summer,Weekend,Commuter-Heavy Transit Hub,3204,3063,-141,2352
2023-08-01,2023,Summer,Weekend,Leisure & Waterfront,29224,30914,1690,10331
2023-08-01,2023,Summer,Weekend,Residential & Inner-Suburban Feeder,28750,27770,-980,18398
2023-09-01,2023,Fall,Weekday,Commercial & Employment Core,348561,347564,-997,112749
2023-09-01,2023,Fall,Weekday,Commuter-Heavy Transit Hub,27467,29229,1762,7414
2023-09-01,2023,Fall,Weekday,Leisure & Waterfront,40391,44240,3849,23065
2023-09-01,2023,Fall,Weekday,Residential & Inner-Suburban Feeder,83223,78350,-4873,50435
2023-09-01,2023,Fall,Weekend,Commercial & Employment Core,134181,134238,57,49391
2023-09-01,2023,Fall,Weekend,Commuter-Heavy Transit Hub,4559,4394,-165,2804
2023-09-01,2023,Fall,Weekend,Leisure & Waterfront,28525,30344,1819,11344
2023-09-01,2023,Fall,Weekend,Residential & Inner-Suburban Feeder,33778,32326,-1452,21405
2023-10-01,2023,Fall,Weekday,Commercial & Employment Core,303476,303059,-417,111631
2023-10-01,2023,Fall,Weekday,Commuter-Heavy Transit Hub,26210,27583,1373,7745
2023-10-01,2023,Fall,Weekday,Leisure & Waterfront,27378,29862,2484,20016
2023-10-01,2023,Fall,Weekday,Residential & Inner-Suburban Feeder,71381,67637,-3744,48423
2023-10-01,2023,Fall,Weekday,Unassigned,0,1,1,1
2023-10-01,2023,Fall,Weekend,Commercial & Employment Core,98510,98972,462,45162
2023-10-01,2023,Fall,Weekend,Commuter-Heavy Transit Hub,3547,3741,194,2651
2023-10-01,2023,Fall,Weekend,Leisure & Waterfront,13063,13908,845,8434
2023-10-01,2023,Fall,Weekend,Residential & Inner-Suburban Feeder,23781,22661,-1120,18564
2023-11-01,2023,Fall,Weekday,Commercial & Employment Core,208531,207582,-949,101121
