month_start,year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2025-03-01,2025,Spring,Weekday,Residential & Inner-Suburban Feeder,37367,35833,-1534,34000
2025-03-01,2025,Spring,Weekend,Commercial & Employment Core,48110,48312,202,38543
2025-03-01,2025,Spring,Weekend,Commuter-Heavy Transit Hub,2217,2240,23,2483
2025-03-01,2025,Spring,Weekend,Leisure & Waterfront,5019,5278,259,5178
2025-03-01,2025,Spring,Weekend,Residential & Inner-Suburban Feeder,10603,10225,-378,12193
2025-04-01,2025,Spring,Weekday,Commercial & Employment Core,231503,228943,-2560,110285
2025-04-01,2025,Spring,Weekday,Commuter-Heavy Transit Hub,23479,27240,3761,9559
2025-04-01,2025,Spring,Weekday,Leisure & Waterfront,25292,26816,1524,20079
2025-04-01,2025,Spring,Weekday,Residential & Inner-Suburban Feeder,57945,55113,-2832,44839
2025-04-01,2025,Spring,Weekend,Commercial & Employment Core,72866,73208,342,40170
2025-04-01,2025,Spring,Weekend,Commuter-Heavy Transit Hub,3228,3292,64,2708
2025-04-01,2025,Spring,Weekend,Leisure & Waterfront,14578,14806,228,8831
2025-04-01,2025,Spring,Weekend,Residential & Inner-Suburban Feeder,18482,17941,-541,15822
2025-05-01,2025,Spring,Weekday,Commercial & Employment Core,314145,310379,-3766,119721
2025-05-01,2025,Spring,Weekday,Commuter-Heavy Transit Hub,28659,34013,5354,9784
2025-05-01,2025,Spring,Weekday,Leisure & Waterfront,46813,49348,2535,27366
2025-05-01,2025,Spring,Weekday,Residential & Inner-Suburban Feeder,85223,80774,-4449,53358
2025-05-01,2025,Spring,Weekend,Commercial & Employment Core,113597,113984,387,50543
2025-05-01,2025,Spring,Weekend,Commuter-Heavy Transit Hub,4620,4721,101,3419
2025-05-01,2025,Spring,Weekend,Leisure & Waterfront,24679,25033,354,12630
2025-05-01,2025,Spring,Weekend,Residential & Inner-Suburban Feeder,30098,29508,-590,21743
2025-06-01,2025,Summer,Weekday,Commercial & Employment Core,406923,400757,-6166,126925
2025-06-01,2025,Summer,Weekday,Commuter-Heavy Transit Hub,34905,41362,6457,9717
2025-06-01,2025,Summer,Weekday,Leisure & Waterfront,69431,73569,4138,34734
2025-06-01,2025,Summer,Weekday,Residential & Inner-Suburban Feeder,109803,104946,-4857,59454
2025-06-01,2025,Summer,Weekend,Commercial & Employment Core,165995,166462,467,55679
2025-06-01,2025,Summer,Weekend,Commuter-Heavy Transit Hub,6093,5673,-420,3638
2025-06-01,2025,Summer,Weekend,Leisure & Waterfront,48664,50019,1355,17427
2025-06-01,2025,Summer,Weekend,Residential & Inner-Suburban Feeder,46005,45027,-978,25876
2025-07-01,2025,Summer,Weekday,Commercial & Employment Core,519933,512997,-6936,144942
2025-07-01,2025,Summer,Weekday,Commuter-Heavy Transit Hub,44016,50563,6547,11293
2025-07-01,2025,Summer,Weekday,Leisure & Waterfront,109999,115511,5512,45449
2025-07-01,2025,Summer,Weekday,Residential & Inner-Suburban Feeder,137774,132262,-5512,69987
2025-07-01,2025,Summer,Weekday,Unassigned,0,3,3,3
2025-07-01,2025,Summer,Weekend,Commercial & Employment Core,159763,159801,38,51010
2025-07-01,2025,Summer,Weekend,Commuter-Heavy Transit Hub,5926,5258,-668,3346
2025-07-01,2025,Summer,Weekend,Leisure & Waterfront,53818,55432,1614,16671
2025-07-01,2025,Summer,Weekend,Residential & Inner-Suburban Feeder,44051,43408,-643,24392
2025-08-01,2025,Summer,Weekday,Commercial & Employment Core,463666,458953,-4713,131741
2025-08-01,2025,Summer,Weekday,Commuter-Heavy Transit Hub,39690,45601,5911,10657
2025-08-01,2025,Summer,Weekday,Leisure & Waterfront,89623,94795,5172,39929
2025-08-01,2025,Summer,Weekday,Residential & Inner-Suburban Feeder,121458,114660,-6798,62277
2025-08-01,2025,Summer,Weekend,Commercial & Employment Core,205756,206206,450,63981
2025-08-01,2025,Summer,Weekend,Commuter-Heavy Transit Hub,7599,7105,-494,4439
2025-08-01,2025,Summer,Weekend,Leisure & Waterfront,67564,69800,2236,21193
2025-08-01,2025,Summer,Weekend,Residential & Inner-Suburban Feeder,56030,54212,-1818,29904
2025-09-01,2025,Fall,Weekday,Commercial & Employment Core,494569,487935,-6634,134844
2025-09-01,2025,Fall,Weekday,Commuter-Heavy Transit Hub,46916,54707,7791,11098
2025-09-01,2025,Fall,Weekday,Leisure & Waterfront,73402,76921,3519,38831
2025-09-01,2025,Fall,Weekday,Residential & Inner-Suburban Feeder,121486,116459,-5027,62744
2025-09-01,2025,Fall,Weekday,Unassigned,0,1,1,1
2025-09-01,2025,Fall,Weekend,Commercial & Employment Core,162217,163123,906,51076
2025-09-01,2025,Fall,Weekend,Commuter-Heavy Transit Hub,6786,6578,-208,3721
2025-09-01,2025,Fall,Weekend,Leisure & Waterfront,38429,39727,1298,15794
2025-09-01,2025,Fall,Weekend,Residential & Inner-Suburban Feeder,41702,40203,-1499,23339
2025-10-01,2025,Fall,Weekday,Commercial & Employment Core,426634,420620,-6014,136074
2025-10-01,2025,Fall,Weekday,Commuter-Heavy Transit Hub,43001,51978,8977,11672
2025-10-01,2025,Fall,Weekday,Leisure & Waterfront,43825,46418,2593,30340
2025-10-01,2025,Fall,Weekday,Residential & Inner-Suburban Feeder,102726,96465,-6261,59544
2025-10-01,2025,Fall,Weekend,Commercial & Employment Core,141799,142642,843,49109
2025-10-01,2025,Fall,Weekend,Commuter-Heavy Transit Hub,6359,6763,404,3636
2025-10-01,2025,Fall,Weekend,Leisure & Waterfront,26485,27140,655,12534
2025-10-01,2025,Fall,Weekend,Residential & Inner-Suburban Feeder,34733,33225,-1508,21140
2025-11-01,2025,Fall,Weekday,Commercial & Employment Core,256455,253434,-3021,106999
2025-11-01,2025,Fall,Weekday,Commuter-Heavy Transit Hub,28496,34366,5870,9850
2025-11-01,2025,Fall,Weekday,Leisure & Waterfront,17019,17891,872,16871
2025-11-01,2025,Fall,Weekday,Residential & Inner-Suburban Feeder,58503,54568,-3935,43607
2025-11-01,2025,Fall,Weekend,Commercial & Employment Core,100824,101186,362,51496
2025-11-01,2025,Fall,Weekend,Commuter-Heavy Transit Hub,4699,5025,326,3749
2025-11-01,2025,Fall,Weekend,Leisure & Waterfront,9462,10103,641,8568
2025-11-01,2025,Fall,Weekend,Residential & Inner-Suburban Feeder,23284,22537,-747,19720
2025-12-01,2025,Winter,Weekday,Commercial & Employment Core,122448,120853,-1595,85875
2025-12-01,2025,Winter,Weekday,Commuter-Heavy Transit Hub,13070,15377,2307,7943
2025-12-01,2025,Winter,Weekday,Leisure & Waterfront,6916,7387,471,8689
2025-12-01,2025,Winter,Weekday,Residential & Inner-Suburban Feeder,26710,25480,-1230,28316
2025-12-01,2025,Winter,Weekend,Commercial & Employment Core,32009,32170,161,26908
2025-12-01,2025,Winter,Weekend,Commuter-Heavy Transit Hub,1519,1578,59,1735
2025-12-01,2025,Winter,Weekend,Leisure & Waterfront,2136,2372,236,2797
2025-12-01,2025,Winter,Weekend,Residential & Inner-Suburban Feeder,6804,6400,-404,8335
