year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2024,Fall,Weekend,Leisure & Waterfront,60266,63339,3073,31865
2024,Fall,Weekend,Residential & Inner-Suburban Feeder,90829,88316,-2513,62204
2024,Spring,Weekday,Commercial & Employment Core,682417,674896,-7521,314012
2024,Spring,Weekday,Commuter-Heavy Transit Hub,59868,69214,9346,25334
2024,Spring,Weekday,Leisure & Waterfront,82720,86405,3685,57912
2024,Spring,Weekday,Residential & Inner-Suburban Feeder,166368,160358,-6010,126528
2024,Spring,Weekend,Commercial & Employment Core,212149,212624,475,118741
2024,Spring,Weekend,Commuter-Heavy Transit Hub,8327,8142,-185,7302
2024,Spring,Weekend,Leisure & Waterfront,40005,41188,1183,23692
2024,Spring,Weekend,Residential & Inner-Suburban Feeder,53157,52047,-1110,45532
2024,Summer,Weekday,Commercial & Employment Core,1163809,1148121,-15688,380164
2024,Summer,Weekday,Commuter-Heavy Transit Hub,92305,105743,13438,30481
2024,Summer,Weekday,Leisure & Waterfront,177438,192000,14562,89524
2024,Summer,Weekday,Residential & Inner-Suburban Feeder,303661,290340,-13321,173579
2024,Summer,Weekend,Commercial & Employment Core,421132,421597,465,158724
2024,Summer,Weekend,Commuter-Heavy Transit Hub,14957,13696,-1261,10462
2024,Summer,Weekend,Leisure & Waterfront,98940,103504,4564,39928
2024,Summer,Weekend,Residential & Inner-Suburban Feeder,113890,111121,-2769,70755
2024,Winter,Weekday,Commercial & Employment Core,396546,392760,-3786,257782
2024,Winter,Weekday,Commuter-Heavy Transit Hub,36945,44625,7680,21613
2024,Winter,Weekday,Leisure & Waterfront,25367,27385,2018,29123
2024,Winter,Weekday,Residential & Inner-Suburban Feeder,85369,79291,-6078,87045
2024,Winter,Weekend,Commercial & Employment Core,110912,110885,-27,89106
2024,Winter,Weekend,Commuter-Heavy Transit Hub,4638,4830,192,5203
2024,Winter,Weekend,Leisure & Waterfront,9529,10271,742,10717
2024,Winter,Weekend,Residential & Inner-Suburban Feeder,23607,22869,-738,27869
2025,Fall,Weekday,Commercial & Employment Core,1177658,1161989,-15669,377917
2025,Fall,Weekday,Commuter-Heavy Transit Hub,118413,141051,22638,32620
2025,Fall,Weekday,Leisure & Waterfront,134246,141230,6984,86042
2025,Fall,Weekday,Residential & Inner-Suburban Feeder,282715,267492,-15223,165895
2025,Fall,Weekday,Unassigned,0,1,1,1
2025,Fall,Weekend,Commercial & Employment Core,404840,406951,2111,151681
2025,Fall,Weekend,Commuter-Heavy Transit Hub,17844,18366,522,11106
2025,Fall,Weekend,Leisure & Waterfront,74376,76970,2594,36896
2025,Fall,Weekend,Residential & Inner-Suburban Feeder,99719,95965,-3754,64199
2025,Spring,Weekday,Commercial & Employment Core,712953,704368,-8585,324516
2025,Spring,Weekday,Commuter-Heavy Transit Hub,70769,82643,11874,27804
2025,Spring,Weekday,Leisure & Waterfront,86190,91179,4989,60788
2025,Spring,Weekday,Residential & Inner-Suburban Feeder,180535,171720,-8815,132197
2025,Spring,Weekend,Commercial & Employment Core,234573,235504,931,129256
2025,Spring,Weekend,Commuter-Heavy Transit Hub,10065,10253,188,8610
2025,Spring,Weekend,Leisure & Waterfront,44276,45117,841,26639
2025,Spring,Weekend,Residential & Inner-Suburban Feeder,59183,57674,-1509,49758
2025,Summer,Weekday,Commercial & Employment Core,1390522,1372707,-17815,403608
2025,Summer,Weekday,Commuter-Heavy Transit Hub,118611,137526,18915,31667
2025,Summer,Weekday,Leisure & Waterfront,269053,283875,14822,120112
2025,Summer,Weekday,Residential & Inner-Suburban Feeder,369035,351868,-17167,191718
2025,Summer,Weekday,Unassigned,0,3,3,3
2025,Summer,Weekend,Commercial & Employment Core,531514,532469,955,170670
2025,Summer,Weekend,Commuter-Heavy Transit Hub,19618,18036,-1582,11423
2025,Summer,Weekend,Leisure & Waterfront,170046,175251,5205,55291
2025,Summer,Weekend,Residential & Inner-Suburban Feeder,146086,142647,-3439,80172
2025,Winter,Weekday,Commercial & Employment Core,312515,307693,-4822,231950
2025,Winter,Weekday,Commuter-Heavy Transit Hub,34577,40632,6055,21677
2025,Winter,Weekday,Leisure & Waterfront,17623,19244,1621,22052
2025,Winter,Weekday,Residential & Inner-Suburban Feeder,64133,61189,-2944,71385
2025,Winter,Weekend,Commercial & Employment Core,79103,79488,385,72236
2025,Winter,Weekend,Commuter-Heavy Transit Hub,3523,3737,214,4404
2025,Winter,Weekend,Leisure & Waterfront,5331,5920,589,7130
2025,Winter,Weekend,Residential & Inner-Suburban Feeder,16327,15243,-1084,20748
